file_name,grade_term,unit,concept_id,prob_type,main_num,sub_num,answer
2-1_U1_C03_W_52.png,02-01,U1,C03,W,52,,9
2-1_U1_C03_W_53.png,02-01,U1,C03,W,53,,45
2-1_U1_C03_W_54.png,02-01,U1,C03,W,54,,152
2-1_U1_C04_Q_01.png,02-01,U1,C04,Q,1,,90배
2-1_U1_C04_E_4-1.png,02-01,U1,C04,E,4,1,"소수 0.000819 (순환마디 000819), 분수 1/12210"
2-1_U1_C04_E_4-2.png,02-01,U1,C04,E,4,2,7/37
2-1_U1_C04_E_4-3.png,02-01,U1,C04,E,4,3,4
2-1_U1_C04_M_01.png,02-01,U1,C04,M,1,,"2, 3"
2-1_U1_C04_M_02.png,02-01,U1,C04,M,2,,4
2-1_U1_C04_M_03.png,02-01,U1,C04,M,3,,03-11
2-1_U1_C04_M_04.png,02-01,U1,C04,M,4,,0.3(순환마디3)
2-1_U1_C04_M_05.png,02-01,U1,C04,M,5,,1.7(순환마디7)
2-1_U1_C04_M_06.png,02-01,U1,C04,M,6,,13
2-1_U1_C04_W_55.png,02-01,U1,C04,W,55,,"4, 6"
2-1_U1_C04_W_56.png,02-01,U1,C04,W,56,,"(1) 0.109(순9), (2)0.02(순02), (3) 2.32(순2), (4) 2.685(순5), (5) 2.93(순3), (6) 1.93(순3)"
2-1_U1_C04_W_57.png,02-01,U1,C04,W,57,,0.95(순95)
2-1_U1_C04_W_58.png,02-01,U1,C04,W,58,,05-02
2-1_U1_C04_W_59.png,02-01,U1,C04,W,59,,36
2-1_U1_C04_W_60.png,02-01,U1,C04,W,60,,12
2-1_U1_C04_W_61.png,02-01,U1,C04,W,61,,0.3(순6)
2-1_U1_C04_W_62.png,02-01,U1,C04,W,62,,"0.09(순09), 0.24(순27)"
2-1_U1_C04_W_63.png,02-01,U1,C04,W,63,,5
2-1_U1_C04_W_64.png,02-01,U1,C04,W,64,,29
2-1_U1_C04_W_65.png,02-01,U1,C04,W,65,,380
2-1_U1_C04_W_66.png,02-01,U1,C04,W,66,,18
2-1_U1_C04_W_67.png,02-01,U1,C04,W,67,,112
2-1_U1_C04_W_68.png,02-01,U1,C04,W,68,,14/111
